experiment,geometry,target,feature,pearson_r,p_value,significant,direction,n
TOFU_grad_ascent,base,Embedding,local_density_std,-0.04586891517304786,0.650432861556907,False,-,100
TOFU_grad_ascent,base,Embedding,local_density_max,0.10132371847417997,0.3158209963425245,False,+,100
TOFU_grad_ascent,base,Embedding,local_density_min,0.2660957976337561,0.007452225751611694,True,+,100
TOFU_grad_ascent,base,Embedding,separability_mean,-0.34094192212320323,0.000518202098671398,True,-,100
TOFU_grad_ascent,base,Embedding,separability_std,0.2561675465684919,0.010095342390300218,True,+,100
TOFU_grad_ascent,base,Embedding,separability_max,-0.17698294957803534,0.07815176709338986,False,-,100
TOFU_grad_ascent,base,Embedding,separability_min,-0.4375132037646667,5.320608908344536e-06,True,-,100
TOFU_grad_ascent,base,Embedding,centrality_mean,0.05767771932178038,0.5686773496494943,False,+,100
TOFU_grad_ascent,base,Embedding,centrality_std,0.1685362997046944,0.09370161880881678,False,+,100
TOFU_grad_ascent,base,Embedding,centrality_max,0.20131548049811507,0.04459471954861405,True,+,100
TOFU_grad_ascent,base,Embedding,centrality_min,-0.07649264186216785,0.4493982588989011,False,-,100
TOFU_grad_ascent,base,Embedding,isolation_mean,,,False,-,100
TOFU_grad_ascent,base,Embedding,isolation_std,,,False,-,100
TOFU_grad_ascent,base,Embedding,isolation_max,,,False,-,100
TOFU_grad_ascent,base,Embedding,isolation_min,,,False,-,100
TOFU_grad_ascent,base,Embedding,cluster_compactness_mean,,,False,-,100
TOFU_grad_ascent,base,Embedding,cluster_compactness_std,,,False,-,100
TOFU_grad_ascent,base,Embedding,cluster_compactness_max,,,False,-,100
TOFU_grad_ascent,base,Embedding,cluster_compactness_min,,,False,-,100
TOFU_grad_ascent,base,Embedding,cross_layer_consistency_mean,-0.14732545769882807,0.14354220412521473,False,-,100
TOFU_grad_ascent,base,Embedding,cross_layer_consistency_std,-0.029910853364237197,0.7676775622989027,False,-,100
TOFU_grad_ascent,base,Embedding,cross_layer_consistency_max,-0.14732545769882807,0.14354220412521473,False,-,100
TOFU_grad_ascent,base,Embedding,cross_layer_consistency_min,-0.14732545769882807,0.14354220412521473,False,-,100
TOFU_grad_ascent,base,Steering,local_density_mean,-0.09032455520668016,0.371472707975474,False,-,100
TOFU_grad_ascent,base,Steering,local_density_std,-0.08058061387614938,0.4254670966478253,False,-,100
TOFU_grad_ascent,base,Steering,local_density_max,-0.09104524973768098,0.36765279021745934,False,-,100
TOFU_grad_ascent,base,Steering,local_density_min,-0.07048335404946357,0.4859033133594505,False,-,100
TOFU_grad_ascent,base,Steering,separability_mean,-0.017115694702910033,0.8657829198828837,False,-,100
TOFU_grad_ascent,base,Steering,separability_std,0.06732588037265347,0.5056987650648468,False,+,100
TOFU_grad_ascent,base,Steering,separability_max,-0.030389123897949163,0.7640704449113301,False,-,100
