feature,pearson_r,p_value,significant,direction,experiment,geometry,target
local_density_std,0.28697754613862336,0.0037934284438740605,True,positive,TOFU_idk,unlearned,Unlearning
local_density_max,0.32614689001097746,0.0009279614446160763,True,positive,TOFU_idk,unlearned,Unlearning
local_density_min,0.18114919293075848,0.07128297482536472,False,positive,TOFU_idk,unlearned,Unlearning
separability_mean,0.3119325587786227,0.001581325494023834,True,positive,TOFU_idk,unlearned,Unlearning
separability_std,0.06575628845152566,0.5156924065931401,False,positive,TOFU_idk,unlearned,Unlearning
separability_max,0.2795161794568908,0.004856716990241086,True,positive,TOFU_idk,unlearned,Unlearning
separability_min,0.2732389210512397,0.005948896687774155,True,positive,TOFU_idk,unlearned,Unlearning
centrality_mean,-0.1287667386192981,0.20167250792083566,False,negative,TOFU_idk,unlearned,Unlearning
centrality_std,0.35054637415582857,0.00034949215369623594,True,positive,TOFU_idk,unlearned,Unlearning
centrality_max,0.23297184414026767,0.019667959577658444,True,positive,TOFU_idk,unlearned,Unlearning
centrality_min,-0.3513434438955147,0.0003380613045079323,True,negative,TOFU_idk,unlearned,Unlearning
isolation_mean,,,False,negative,TOFU_idk,unlearned,Unlearning
isolation_std,,,False,negative,TOFU_idk,unlearned,Unlearning
isolation_max,,,False,negative,TOFU_idk,unlearned,Unlearning
isolation_min,,,False,negative,TOFU_idk,unlearned,Unlearning
cluster_compactness_mean,,,False,negative,TOFU_idk,unlearned,Unlearning
cluster_compactness_std,,,False,negative,TOFU_idk,unlearned,Unlearning
cluster_compactness_max,,,False,negative,TOFU_idk,unlearned,Unlearning
cluster_compactness_min,,,False,negative,TOFU_idk,unlearned,Unlearning
cross_layer_consistency_mean,0.12032181723004257,0.23309329946134155,False,positive,TOFU_idk,unlearned,Unlearning
cross_layer_consistency_std,-0.06769619804666775,0.5033556636999652,False,negative,TOFU_idk,unlearned,Unlearning
cross_layer_consistency_max,0.12032181723004257,0.23309329946134155,False,positive,TOFU_idk,unlearned,Unlearning
cross_layer_consistency_min,0.12032181723004257,0.23309329946134155,False,positive,TOFU_idk,unlearned,Unlearning
local_density_mean,-0.26304201131803234,0.008191226815994317,True,negative,TOFU_idk,unlearned,Extraction
local_density_std,-0.15730770943249855,0.11804127735030712,False,negative,TOFU_idk,unlearned,Extraction
local_density_max,-0.23460580095599468,0.01880100836695825,True,negative,TOFU_idk,unlearned,Extraction
local_density_min,-0.21794513145513214,0.029383151455510424,True,negative,TOFU_idk,unlearned,Extraction
separability_mean,-0.2698533216084817,0.006624140587062237,True,negative,TOFU_idk,unlearned,Extraction
separability_std,-0.019077106568303814,0.8505711502874783,False,negative,TOFU_idk,unlearned,Extraction
separability_max,-0.20921480876498655,0.036705698198588745,True,negative,TOFU_idk,unlearned,Extraction
separability_min,-0.2223596637625074,0.026178299453761,True,negative,TOFU_idk,unlearned,Extraction
centrality_mean,-0.014650290324565558,0.8849724159474718,False,negative,TOFU_idk,unlearned,Extraction
centrality_std,-0.2802645695143666,0.00473922526416996,True,negative,TOFU_idk,unlearned,Extraction
centrality_max,-0.21086216431276283,0.03521738393787687,True,negative,TOFU_idk,unlearned,Extraction
centrality_min,0.26545980954963944,0.0076010857959589615,True,positive,TOFU_idk,unlearned,Extraction
isolation_mean,,,False,negative,TOFU_idk,unlearned,Extraction
isolation_std,,,False,negative,TOFU_idk,unlearned,Extraction
isolation_max,,,False,negative,TOFU_idk,unlearned,Extraction
isolation_min,,,False,negative,TOFU_idk,unlearned,Extraction
cluster_compactness_mean,,,False,negative,TOFU_idk,unlearned,Extraction
cluster_compactness_std,,,False,negative,TOFU_idk,unlearned,Extraction
cluster_compactness_max,,,False,negative,TOFU_idk,unlearned,Extraction
cluster_compactness_min,,,False,negative,TOFU_idk,unlearned,Extraction
cross_layer_consistency_mean,-0.15952327695953356,0.11288753256619476,False,negative,TOFU_idk,unlearned,Extraction
cross_layer_consistency_std,0.018957765681026313,0.8514951967868681,False,positive,TOFU_idk,unlearned,Extraction
cross_layer_consistency_max,-0.15952327695953356,0.11288753256619476,False,negative,TOFU_idk,unlearned,Extraction
cross_layer_consistency_min,-0.15952327695953356,0.11288753256619476,False,negative,TOFU_idk,unlearned,Extraction
