experiment,geometry,target,feature,pearson_r,pearson_p,spearman_r,spearman_p,significant,direction,n
TOFU_grad_diff,base,Steering,local_density_max,-0.03973506355134224,0.694681402088459,0.02867975791079772,0.7769851338554403,False,-,100
TOFU_grad_diff,base,Steering,local_density_min,-0.027690068231572437,0.7844905739329894,0.08182108701534699,0.4183529009233289,False,-,100
TOFU_grad_diff,base,Steering,separability_mean,-0.42026368011422544,1.3419566863500231e-05,-0.43451886911544585,6.270340187922858e-06,True,-,100
TOFU_grad_diff,base,Steering,separability_std,-0.07362899493954411,0.46660014728553756,0.056179466678186844,0.5787782094787358,False,-,100
TOFU_grad_diff,base,Steering,separability_max,-0.37647866952215525,0.00011315675272020135,-0.2876777262591383,0.003705231317212357,True,-,100
TOFU_grad_diff,base,Steering,separability_min,-0.40814767527123486,2.494982795537575e-05,-0.4520500964448696,2.343654955354275e-06,True,-,100
TOFU_grad_diff,base,Steering,centrality_mean,-0.25082293811242296,0.011833556514647915,-0.30402890444515346,0.0021035664024296225,True,-,100
TOFU_grad_diff,base,Steering,centrality_std,0.3789300199962659,0.00010120688406241334,0.2705963519180858,0.006470394888822555,True,+,100
TOFU_grad_diff,base,Steering,centrality_max,-0.03164221945542697,0.754643653794312,0.004074755329449551,0.9679054420211692,False,-,100
TOFU_grad_diff,base,Steering,centrality_min,-0.4600938055161158,1.4645879305827203e-06,-0.4192955832046224,1.411374285598752e-05,True,-,100
TOFU_grad_diff,base,Steering,isolation_mean,,,,,False,-,100
TOFU_grad_diff,base,Steering,isolation_std,,,,,False,-,100
TOFU_grad_diff,base,Steering,isolation_max,,,,,False,-,100
TOFU_grad_diff,base,Steering,isolation_min,,,,,False,-,100
TOFU_grad_diff,base,Steering,cluster_compactness_mean,,,,,False,-,100
TOFU_grad_diff,base,Steering,cluster_compactness_std,,,,,False,-,100
TOFU_grad_diff,base,Steering,cluster_compactness_max,,,,,False,-,100
TOFU_grad_diff,base,Steering,cluster_compactness_min,,,,,False,-,100
TOFU_grad_diff,base,Steering,cross_layer_consistency_mean,-0.27156633870576,0.006274448119656173,-0.1572312526921543,0.11822231782578745,True,-,100
TOFU_grad_diff,base,Steering,cross_layer_consistency_std,-0.08206851152221621,0.41694219969478524,0.05912815115434783,0.558978630642312,False,-,100
TOFU_grad_diff,base,Steering,cross_layer_consistency_max,-0.27156633870576,0.006274448119656173,-0.1572312526921543,0.11822231782578745,True,-,100
TOFU_grad_diff,base,Steering,cross_layer_consistency_min,-0.27156633870576,0.006274448119656173,-0.1572312526921543,0.11822231782578745,True,-,100
